evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.0468003,213673.84397108565,0.0468003,213673.84397108565,0.0,Infinity,1000.0,85.8,70.89257309653826,70.29288702928869,67.43119266055045,10000.0,128768.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
20000.0,0.0780005,256408.6127653028,0.0312002,320510.7659566285,0.0156001,64102.15319132569,1000.0,87.9,74.34005157437568,73.69565217391305,68.15789473684211,20000.0,202040.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.1092007,274723.51367711014,0.0312002,320510.7659566285,0.0,Infinity,1000.0,87.6,74.71255929293052,74.89878542510121,71.36258660508084,30000.0,222320.0,74.0,54.0,54.0,4.0,0.0,0.0,1.0
40000.0,0.1716011,233098.738877548,0.0624004,160255.38297831424,0.0,Infinity,1000.0,91.0,81.45155971773397,81.21085594989562,78.15533980582525,40000.0,278192.0,95.0,66.0,66.0,4.0,0.0,0.0,1.0
50000.0,0.20280130000000002,246546.74304356036,0.0312002,320510.7659566285,0.0,Infinity,1000.0,91.5,82.74742226191444,81.72043010752688,80.63781321184511,50000.0,296984.0,103.0,70.0,70.0,4.0,0.0,0.0,1.0
60000.0,0.23400150000000003,256408.61276530277,0.0312002,320510.7659566285,0.0,Infinity,1000.0,89.2,77.95351457721782,78.26961770623743,74.76635514018693,60000.0,331592.0,116.0,78.0,78.0,5.0,0.0,0.0,1.0
70000.0,0.29640190000000005,236165.82754698937,0.0624004,160255.38297831424,0.0,Infinity,1000.0,90.60000000000001,80.41740101412864,80.73770491803279,76.61691542288558,70000.0,385984.0,138.0,92.0,92.0,5.0,0.0,0.0,1.0
80000.0,0.32760210000000006,244198.67882409785,0.0312002,320510.7659566285,0.0,Infinity,1000.0,91.5,82.54849465368001,82.10526315789475,79.5673076923077,80000.0,395936.0,140.0,93.0,93.0,5.0,0.0,0.0,1.0
90000.0,0.3744024000000001,240383.0744674713,0.0468003,213673.84397108565,0.0156001,64102.15319132569,1000.0,92.10000000000001,83.84497721937295,84.35643564356437,80.82524271844662,90000.0,444808.0,164.0,105.0,105.0,5.0,0.0,0.0,1.0
100000.0,0.4212027000000001,237415.38219009512,0.0468003,213673.84397108565,0.0,Infinity,1000.0,92.60000000000001,84.92939216572782,84.05172413793103,82.83062645011601,100000.0,487816.0,181.0,115.0,115.0,5.0,0.0,0.0,1.0
110000.0,0.4368028000000001,251829.88753735088,0.0156001,641021.531913257,0.0,Infinity,1000.0,91.7,82.87558181758162,83.26612903225808,79.60687960687962,110000.0,500368.0,191.0,120.0,120.0,5.0,0.0,0.0,1.0
120000.0,0.4680030000000001,256408.61276530274,0.0312002,320510.7659566285,0.0,Infinity,1000.0,92.30000000000001,84.07972542695282,84.69184890656064,81.4009661835749,120000.0,544512.0,206.0,129.0,129.0,6.0,0.0,0.0,1.0
130000.0,0.5148033000000001,252523.63378401028,0.0468003,213673.84397108565,0.0,Infinity,1000.0,92.7,84.91934950750316,84.79166666666667,82.49400479616308,130000.0,611872.0,231.0,146.0,146.0,6.0,0.0,0.0,1.0
140000.0,0.5460035000000001,256408.61276530274,0.0312002,320510.7659566285,0.0,Infinity,1000.0,92.10000000000001,83.92138984320303,83.57588357588358,82.04545454545456,140000.0,634056.0,239.0,150.0,150.0,6.0,0.0,0.0,1.0
150000.0,0.5616036000000001,267092.30496385705,0.0156001,641021.531913257,0.0156001,64102.15319132569,1000.0,93.7,87.12277919041118,86.56716417910448,85.24590163934428,150000.0,652616.0,247.0,154.0,154.0,6.0,0.0,0.0,1.0
160000.0,0.5928038000000001,269903.80291084497,0.0312002,320510.7659566285,0.0,Infinity,1000.0,92.0,83.69908511115187,83.33333333333334,81.08747044917259,160000.0,690248.0,264.0,164.0,164.0,6.0,0.0,0.0,1.0
170000.0,0.6240040000000001,272434.15106313414,0.0312002,320510.7659566285,0.0,Infinity,1000.0,94.89999999999999,89.4394195408011,88.8157894736842,87.5912408759124,170000.0,734552.0,280.0,175.0,175.0,6.0,0.0,0.0,1.0
180000.0,0.6552042000000001,274723.5136771101,0.0312002,320510.7659566285,0.0,Infinity,1000.0,92.0,83.72501790248032,84.3444227005871,81.651376146789,180000.0,748864.0,286.0,178.0,178.0,6.0,0.0,0.0,1.0
190000.0,0.6864044000000001,276804.7524170882,0.0312002,320510.7659566285,0.0,Infinity,1000.0,93.0,85.6864765830757,86.19329388560159,83.41232227488153,190000.0,776992.0,297.0,185.0,185.0,6.0,0.0,0.0,1.0
200000.0,0.7176046000000001,278705.01387532905,0.0312002,320510.7659566285,0.0,Infinity,1000.0,93.2,85.98562289784346,86.20689655172414,83.37408312958436,200000.0,786584.0,301.0,187.0,187.0,6.0,0.0,0.0,1.0
210000.0,0.7332047000000002,286413.8759612424,0.0156001,641021.531913257,0.0,Infinity,1000.0,93.0,85.76686118623047,85.35564853556487,83.8709677419355,210000.0,796504.0,305.0,189.0,189.0,6.0,0.0,0.0,1.0
220000.0,0.7644049000000002,287805.58575697243,0.0312002,320510.7659566285,0.0,Infinity,1000.0,93.7,87.0415165128104,86.15384615384617,85.14150943396228,220000.0,812064.0,316.0,196.0,196.0,6.0,0.0,0.0,1.0
230000.0,0.7800050000000002,294869.9046800981,0.0156001,641021.531913257,0.0,Infinity,1000.0,93.5,86.6293660262476,87.1794871794872,84.63356973995273,230000.0,844280.0,323.0,201.0,201.0,6.0,0.0,0.0,1.0
240000.0,0.8112052000000002,295856.0916522724,0.0312002,320510.7659566285,0.0,Infinity,1000.0,94.3,88.32770879066871,88.46153846153845,86.29807692307692,240000.0,867808.0,334.0,208.0,208.0,6.0,0.0,0.0,1.0
