learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.1404009,4.677087247371673E-9,10000.0,80.4,58.55185247843006,58.684654300168646,52.13675213675214,10000.0,128768.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
20000.0,0.2808018,1.1993172157555816E-8,20000.0,83.745,66.09562352380127,66.06117548804677,61.02853032845841,20000.0,201424.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.3900025,1.8177727655611103E-8,30000.0,85.57666666666667,69.99820419109903,70.11121088623334,65.35073670723895,30000.0,218920.0,74.0,54.0,54.0,4.0,0.0,0.0,1.0
40000.0,0.5304034,2.846174056931502E-8,40000.0,86.4,71.79348674950948,71.88775773861815,67.46411483253588,40000.0,283136.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.6552042,3.819895683498018E-8,50000.0,87.072,73.22633751620837,73.24281811408231,69.06584992343033,50000.0,301592.0,105.0,71.0,71.0,5.0,0.0,0.0,1.0
60000.0,0.8424054,5.380939415862991E-8,60000.0,87.60333333333334,74.39674481356377,74.36498362915734,70.48646932783113,60000.0,322336.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.9984064,6.971221400735279E-8,70000.0,88.02,75.29610138249038,75.30551547454283,71.57673535791757,70000.0,394048.0,144.0,95.0,95.0,5.0,0.0,0.0,1.0
80000.0,1.1700075,8.78026724530177E-8,80000.0,88.40625,76.10751547966701,76.12551159618008,72.49080555226006,80000.0,407504.0,146.0,96.0,96.0,5.0,0.0,0.0,1.0
90000.0,1.3416086,1.080964605189446E-7,90000.0,88.7088888888889,76.74188279922713,76.73801075884171,73.20147679324896,90000.0,457136.0,172.0,109.0,109.0,5.0,0.0,0.0,1.0
100000.0,1.4976096,1.2830850029053789E-7,100000.0,88.991,77.33715410237035,77.32160514172709,73.90119008107723,100000.0,500824.0,187.0,118.0,118.0,5.0,0.0,0.0,1.0
110000.0,1.6536106,1.4897286770968802E-7,110000.0,89.28636363636365,77.95189871727446,77.93980008236309,74.61004825922096,110000.0,512032.0,191.0,120.0,120.0,5.0,0.0,0.0,1.0
120000.0,1.8096116,1.7028392483480275E-7,120000.0,89.56416666666667,78.52623153225332,78.50350178522383,75.26614129683395,120000.0,528056.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
130000.0,1.9812127,1.965697466455814E-7,130000.0,89.74,78.8902386295641,78.86580786233777,75.67833698030634,130000.0,592112.0,226.0,142.0,142.0,6.0,0.0,0.0,1.0
140000.0,2.1216136,2.189663578387764E-7,140000.0,89.93214285714286,79.29358560344392,79.30857310628303,76.15301323046731,140000.0,616616.0,236.0,147.0,147.0,6.0,0.0,0.0,1.0
