Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,10000.0,0.0780005,6.754242959949705E-10,10000.0,57.66,14.957122039743584,14.602662363856398,13.273248668578447,10000.0,33472.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,20000.0,0.1404009,1.575817831688457E-9,20000.0,64.63499999999999,29.25443597591469,28.55555555555555,28.95741261550824,20000.0,55776.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,30000.0,0.1872012,2.4536434140884216E-9,30000.0,68.78,37.54739873046649,37.42232912407296,36.92929292929292,30000.0,72504.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,40000.0,0.2496016,3.984131622852551E-9,40000.0,70.975,41.94958595542183,41.9093365355749,41.46415246546334,40000.0,94808.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,50000.0,0.2964019,5.402038353598781E-9,50000.0,72.75399999999999,45.51268364253437,45.234170854271355,44.90860562924619,50000.0,117112.0,41.0,21.0,21.0,7.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,60000.0,0.3276021,6.527336556878356E-9,60000.0,74.13833333333332,48.28097865387303,48.05677367522511,47.789367429340494,60000.0,139416.0,49.0,25.0,25.0,7.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,70000.0,0.3900025,9.137987062335015E-9,70000.0,75.13857142857144,50.2762173047404,50.12466683862093,49.90212447463873,70000.0,161720.0,57.0,29.0,29.0,7.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,80000.0,0.4368028,1.1636056089773775E-8,80000.0,76.07374999999999,52.145417129280546,51.94567182165093,51.76523952322153,80000.0,206328.0,73.0,37.0,37.0,8.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,90000.0,0.4992032,1.5317957940407925E-8,90000.0,76.83444444444444,53.6676560595772,53.46724695904476,53.35168031503111,90000.0,228080.0,83.0,42.0,42.0,9.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,100000.0,0.5616036,1.918879779200587E-8,100000.0,77.468,54.9377273090119,54.71682945456008,54.62107022737801,100000.0,239784.0,85.0,43.0,43.0,9.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,110000.0,0.624004,2.3845221963400643E-8,110000.0,78.03636363636363,56.07310540705296,55.8947022527292,55.823733772170414,110000.0,288448.0,103.0,52.0,52.0,10.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,120000.0,0.7020045,3.023656965150601E-8,120000.0,78.515,57.03164038874209,56.889171292890104,56.75757270806079,120000.0,316736.0,115.0,58.0,58.0,11.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,130000.0,0.7644049,3.573165641911328E-8,130000.0,78.95615384615384,57.914292006046544,57.82341242310716,57.63465171740948,130000.0,340400.0,123.0,62.0,62.0,11.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,140000.0,0.8112052,4.011322939395905E-8,140000.0,79.41214285714285,58.825166267515684,58.76714876328626,58.60548614103116,140000.0,361896.0,129.0,65.0,65.0,11.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,150000.0,0.8580055,4.4755157126113776E-8,150000.0,79.83866666666667,59.678018692321935,59.6649639222695,59.47905082202243,150000.0,383400.0,137.0,69.0,69.0,12.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,160000.0,0.9204059,5.149093246190913E-8,160000.0,80.17375,60.34809164984186,60.347004337554225,60.16275477527031,160000.0,417256.0,149.0,75.0,75.0,13.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,170000.0,0.9672062,5.682743012139367E-8,170000.0,80.54352941176471,61.087855717315485,61.0788166905933,60.897989100237616,170000.0,440768.0,159.0,80.0,80.0,13.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,180000.0,1.0296066,6.411232670127518E-8,180000.0,80.88055555555556,61.761802089509644,61.787435322333494,61.580539647454145,180000.0,451272.0,161.0,81.0,81.0,14.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,190000.0,1.092007,7.185775158699188E-8,190000.0,81.17052631578947,62.34179185907526,62.387375548009295,62.15301286391334,190000.0,479800.0,173.0,87.0,87.0,14.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,200000.0,1.1544074,8.01343466695398E-8,200000.0,81.484,62.96845708774048,62.988726313264564,62.80135004821601,200000.0,512704.0,187.0,94.0,94.0,15.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,210000.0,1.2012077,8.680070698447526E-8,210000.0,81.76952380952382,63.53943981231327,63.57651177836131,63.35828180930688,210000.0,550608.0,199.0,100.0,100.0,15.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,220000.0,1.2636081,9.620589344803659E-8,220000.0,82.0131818181818,64.02669397239498,64.05577254973203,63.814514064157414,220000.0,582616.0,209.0,105.0,105.0,16.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,230000.0,1.3260085,1.0600613209543129E-7,230000.0,82.26434782608696,64.52880245467571,64.54750089083183,64.32332208014834,230000.0,607088.0,219.0,110.0,110.0,16.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,240000.0,1.3884089,1.1623564614624614E-7,240000.0,82.5,64.99992277378792,65.01399440223909,64.8073200774239,240000.0,633680.0,227.0,114.0,114.0,17.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,250000.0,1.4508093,1.2675198952046533E-7,250000.0,82.6928,65.38525957925845,65.40690934384419,65.18478584475254,250000.0,651448.0,233.0,117.0,117.0,17.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,260000.0,1.5132097,1.374393198483934E-7,260000.0,82.87653846153846,65.75256756851233,65.77519141477815,65.5524864015846,260000.0,662040.0,237.0,119.0,119.0,17.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,270000.0,1.5912102,1.5156511516310275E-7,270000.0,83.0574074074074,66.11394976391524,66.14966811949176,65.90062019202098,270000.0,700032.0,251.0,126.0,126.0,18.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,280000.0,1.6536106,1.6315270988249944E-7,280000.0,83.23821428571428,66.47554184951049,66.51302505119405,66.27673868837617,280000.0,717808.0,259.0,130.0,130.0,18.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,290000.0,1.716011,1.7510668676781158E-7,290000.0,83.39999999999999,66.79895677032113,66.86375869877959,66.59751181299046,290000.0,740504.0,265.0,133.0,133.0,19.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,300000.0,1.7784114,1.8723165060683258E-7,300000.0,83.56133333333334,67.12138317460338,67.16841201259578,66.90845405927706,300000.0,751096.0,269.0,135.0,135.0,19.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,310000.0,1.8408118,1.9954968506201274E-7,310000.0,83.69225806451614,67.38300014111104,67.43619803408785,67.16099905810518,310000.0,763056.0,275.0,138.0,138.0,19.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree -l MC,generators.RandomRBFGenerator,1,320000.0,1.9032122,2.1235071891815299E-7,320000.0,83.83625,67.67107474523324,67.71749374309556,67.46447599338269,320000.0,792976.0,285.0,143.0,143.0,20.0,0.0,0.0,1.0
