Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,10000.0,0.2964019,3.6008638495372403E-9,10000.0,73.64,47.255072747380424,46.83340056474386,46.005735354362976,10000.0,46960.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,20000.0,0.4836031,9.113643375949727E-9,20000.0,77.615,55.228749091249604,54.77777777777778,55.03214142225794,20000.0,113832.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,30000.0,0.6864044,1.6540986035847E-8,30000.0,79.15333333333334,58.30473997502897,58.21473909267054,57.88552188552188,30000.0,141568.0,32.0,14.0,14.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,40000.0,0.8424054,2.4374228994465534E-8,40000.0,80.3875,60.7749417507885,60.74752326628641,60.44670767369165,40000.0,194096.0,44.0,20.0,20.0,7.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,50000.0,1.0452067,3.725329824847479E-8,50000.0,81.272,62.54405801176295,62.355778894472365,62.13199611776125,50000.0,245480.0,58.0,27.0,27.0,7.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,60000.0,1.248008,5.2765263100672093E-8,60000.0,82.01833333333333,64.03621160486418,63.88377464600141,63.69784656796771,60000.0,295664.0,68.0,32.0,32.0,8.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,70000.0,1.4196091,6.760755057488051E-8,70000.0,82.72285714285714,65.4459068013764,65.33975295904622,65.1850998906097,70000.0,334336.0,78.0,37.0,37.0,8.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,80000.0,1.6068103,8.664405503972537E-8,80000.0,83.3125,66.62567749874678,66.48423378188392,66.35839024267318,80000.0,393080.0,92.0,44.0,44.0,9.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,90000.0,1.7784114,1.06722269108312E-7,90000.0,83.84333333333333,67.68715996006766,67.5460328088383,67.46543160155727,90000.0,452280.0,106.0,51.0,51.0,10.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingAdaptiveTree,generators.RandomRBFGenerator,1,100000.0,1.9656126,1.3134284071168967E-7,100000.0,84.27799999999999,68.55522445863394,68.4030708629768,68.33625359998389,100000.0,508384.0,118.0,57.0,57.0,11.0,0.0,0.0,1.0
